trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
13861602, 5:11:00, 5:11:00,646,1,,0,0,,1
13861602, 5:18:53, 5:18:53,1277,10,,0,0,3.4113,0
13861602, 5:19:48, 5:19:48,1279,11,,0,0,3.8103,0
13861602, 5:21:05, 5:21:05,56,12,,0,0,4.3659,0
13861602, 5:21:39, 5:21:39,12619,13,,0,0,4.61,0
13861602, 5:22:01, 5:22:01,58,14,,0,0,4.771,0
13861602, 5:22:27, 5:22:27,59,15,,0,0,4.9571,0
13861602, 5:23:07, 5:23:07,61,16,,0,0,5.2448,0
13861602, 5:23:53, 5:23:53,63,17,,0,0,5.577,0
13861602, 5:24:14, 5:24:14,64,18,,0,0,5.7291,0
13861602, 5:25:17, 5:25:17,12040,19,,0,0,6.1851,0
13861602, 5:11:46, 5:11:46,378,2,,0,0,0.33,0
13861602, 5:26:04, 5:26:04,10542,20,,0,0,6.5242,0
13861602, 5:26:53, 5:26:53,69,21,,0,0,6.8763,0
13861602, 5:27:17, 5:27:17,70,22,,0,0,7.0484,0
13861602, 5:28:07, 5:28:07,72,23,,0,0,7.4065,0
13861602, 5:31:05, 5:31:05,73,24,,0,0,8.6831,0
13861602, 5:31:41, 5:31:41,75,25,,0,0,8.9441,0
13861602, 5:32:21, 5:32:21,11881,26,,0,0,9.2361,0
13861602, 5:32:56, 5:32:56,12603,27,,0,0,9.4858,0
13861602, 5:33:23, 5:33:23,30,28,,0,0,9.6796,0
13861602, 5:33:46, 5:33:46,31,29,,0,0,9.8494,0
13861602, 5:12:20, 5:12:20,379,3,,0,0,0.578,0
13861602, 5:35:00, 5:35:00,13012,30,,1,0,10.2706,1
13861602, 5:13:09, 5:13:09,12663,4,,0,0,0.9331,0
13861602, 5:14:31, 5:14:31,1269,5,,0,0,1.5221,0
13861602, 5:15:27, 5:15:27,1271,6,,0,0,1.9271,0
13861602, 5:16:27, 5:16:27,1273,7,,0,0,2.3591,0
13861602, 5:17:33, 5:17:33,1275,8,,0,0,2.8334,0
13861602, 5:18:39, 5:18:39,1276,9,,0,0,3.3083,0
13861603, 5:29:00, 5:29:00,646,1,,0,0,,1
13861603, 5:37:34, 5:37:34,1277,10,,0,0,3.4113,0
13861603, 5:38:34, 5:38:34,1279,11,,0,0,3.8103,0
13861603, 5:39:58, 5:39:58,56,12,,0,0,4.3659,0
13861603, 5:40:35, 5:40:35,12619,13,,0,0,4.61,0
13861603, 5:40:59, 5:40:59,58,14,,0,0,4.771,0
13861603, 5:41:27, 5:41:27,59,15,,0,0,4.9571,0
13861603, 5:42:10, 5:42:10,61,16,,0,0,5.2448,0
